id,RA,Dec,Target,Qual,z,z_err,N_lines,features,flag
V01Q4_19,10.3456,-9.3456,T,2,0.1782,0,9,e9a0,0
V01Q4_19,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V01Q4_20,10.3371,-9.3599,A,2,0.472,0.0004,8,e3a5,0
V01Q4_20,10.3393,-9.3599,T,0,0,0,0,e0a0,0
V01Q4_24,10.3315,-9.3574,T,2,0.1824,0,6,e5a1,0
V01Q4_13,10.3275,-9.3386,T,2,0.0164,0,10,e10a0,0
V01Q4_12,10.3232,-9.3593,T,0,0,0,0,e0a0,0
V01Q4_11,10.318,-9.348,A,2,0.3157,0,15,e11a4,a
V01Q4_11,10.32,-9.348,T,0,0,0,0,e0a0,0
V01Q4_11,10.321,-9.348,A,0,0,0,0,e0a0,a
V01Q4_10,10.3137,-9.3399,T,2,0.3033,0,8,e3a5,0
V01Q4_8,10.3057,-9.3317,T,2,0.0557,0,3,e0a3,0
V01Q4_23,10.301,-9.3022,T,2,0.3035,0,12,e10a2,0
V01Q4_7,10.2942,-9.3151,T,2,0.5849,0,8,e8a0,0
V01Q4_6,10.2901,-9.3525,T,2,0.1309,0,7,e5a2,0
V01Q4_5,10.2853,-9.2818,T,2,0.397,0.0002,11,e8a3,0
V01Q4_4,10.2804,-9.2901,A,2,0.2319,0,10,e9a1,a
V01Q4_4,10.2812,-9.2901,T,2,0.2333,0,0,e0a0,0
V01Q4_22,10.2772,-9.3699,T,2,0.3006,0,10,e10a0,0
V01Q4_21,10.2738,-9.3664,T,2,0.2323,0,13,e10a3,0
V01Q4_1,10.2681,-9.2806,T,2,0.396,0.0001,15,e12a3,0
V02Q1_25,10.6539,-9.1605,T,2,0.3868,0,8,e8a0,0
V02Q1_26,10.6495,-9.1508,T,2,0.1678,0,7,e7a0,0
V02Q1_5,10.645,-9.1453,T,2,0.4435,0,17,e12a5,0
V02Q1_41,10.6425,-9.1814,T,2,0.0549,0,4,e1a3,0
V02Q1_2,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q1_2,10.64,-9.1397,T,2,0.1671,0,7,e7a0,0
V02Q1_28,10.6362,-9.1198,T,3,0.0216,0,7,e7a0,0
V02Q1_28,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q1_29,10.6306,-9.147,T,2,0.1668,0,11,e11a0,0
V02Q1_30,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q1_30,10.6282,-9.1551,T,0,0,0,0,e0a0,0
V02Q1_21,10.625,-9.1998,T,0,0,0,0,e0a0,0
V02Q1_1,10.6142,-9.1801,T,0,0,0,0,e0a0,0
V02Q1_35,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q1_35,10.6108,-9.1082,T,0,0,0,0,e0a0,0
V02Q1_22,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_18,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_18,-999.9,-999.9,A,-9,0,0,0,e0a0,c
V02Q1_37,-999.9,-999.9,A,-9,0,0,0,e0a0,c
V02Q1_37,10.5912,-9.1662,T,0,0,0,0,e0a0,0
V02Q1_6,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_24,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_11,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_10,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_10,-999.9,-999.9,A,-9,0,0,0,e0a0,c
V02Q1_20,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_12,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_12,-999.9,-999.9,A,-9,0,0,0,e0a0,c
V02Q1_13,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_13,-999.9,-999.9,A,-9,0,0,0,e0a0,c
V02Q1_14,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_33,-999.9,-999.9,T,-9,0,0,0,e0a0,c
V02Q1_33,-999.9,-999.9,A,-9,0,0,0,e0a0,c
V02Q1_33,-999.9,-999.9,A,-9,0,0,0,e0a0,c
V02Q1_32,-999.9,-999.9,T,-9,0,0,0,e0a0,c
